tool,test_time,seed,curve,oracle,iteration,error,ir_generation_seed,ir_generation_time,ir_rewrite_seed,ir_rewrite_time,ir_rewrite_rules,c1_node_size,c1_assignments,c1_assertions,c1_assumptions,c1_input_signals,c1_output_signals,c2_node_size,c2_assignments,c2_assertions,c2_assumptions,c2_input_signals,c2_output_signals,circom_c1_compilation,circom_c1_compilation_time,circom_c1_compilation_optimization,circom_c2_compilation,circom_c2_compilation_time,circom_c2_compilation_optimization,circom_c1_cpp_witness_preparation,circom_c1_cpp_witness_preparation_time,circom_c1_cpp_witness_generation,circom_c1_cpp_witness_generation_time,circom_c1_js_witness_generation,circom_c1_js_witness_generation_time,circom_c1_snarkjs_witness_check,circom_c1_snarkjs_witness_check_time,circom_c2_cpp_witness_preparation,circom_c2_cpp_witness_preparation_time,circom_c2_cpp_witness_generation,circom_c2_cpp_witness_generation_time,circom_c2_js_witness_generation,circom_c2_js_witness_generation_time,circom_c2_snarkjs_witness_check,circom_c2_snarkjs_witness_check_time,circom_proof_system,circom_c1_zkey_generation,circom_c1_zkey_generation_time,circom_c1_proof_generation,circom_c1_proof_generation_time,circom_c2_zkey_generation,circom_c2_zkey_generation_time,circom_c2_proof_generation,circom_c2_proof_generation_time,circom_c1_vkey_generation,circom_c1_vkey_generation_time,circom_c1_verification,circom_c1_verification_time,circom_c2_vkey_generation,circom_c2_vkey_generation_time,circom_c2_verification,circom_c2_verification_time,circom_c1_ignored_error,circom_c2_ignored_error,corset_rust_check,corset_rust_check_time,corset_rust_compile,corset_rust_compile_time,corset_go_compile,corset_go_compile_time,corset_wizard_compile,corset_wizard_compile_time,corset_wizard_prove,corset_wizard_prove_time,corset_wizard_verify,corset_wizard_verify_time,corset_go_custom_cli,corset_go_custom_cli_time,corset_expansions,corset_native,corset_auto_constraints,corset_guard_variable,corset_timeout,corset_out_of_memory,corset_error_references,corset_ignored_error,gnark_c1_compile,gnark_c1_compile_time,gnark_c2_compile,gnark_c2_compile_time,gnark_c1_new_witness,gnark_c1_new_witness_time,gnark_c2_new_witness,gnark_c2_new_witness_time,gnark_c1_witness_solved,gnark_c1_witness_solved_time,gnark_c2_witness_solved,gnark_c2_witness_solved_time,gnark_c1_witness_write,gnark_c1_witness_write_time,gnark_c2_witness_write,gnark_c2_witness_write_time,gnark_c1_new_srs,gnark_c2_new_srs,gnark_c1_proof_setup,gnark_c1_proof_setup_time,gnark_c2_proof_setup,gnark_c2_proof_setup_time,gnark_c1_prove,gnark_c1_prove_time,gnark_c2_prove,gnark_c2_prove_time,gnark_c1_witness_public,gnark_c1_witness_public_time,gnark_c2_witness_public,gnark_c2_witness_public_time,gnark_c1_verify,gnark_c1_verify_time,gnark_c2_verify,gnark_c2_verify_time,gnark_cs_engine,gnark_proof_system,gnark_go_test_time,gnark_go_timeout,gnark_go_ignored_compiler_error,noir_c1_execute,noir_c1_execute_time,noir_c2_execute,noir_c2_execute_time,noir_c1_vk,noir_c1_vk_time,noir_c2_vk,noir_c2_vk_time,noir_c1_bb_prove,noir_c1_bb_prove_time,noir_c2_bb_prove,noir_c2_bb_prove_time,noir_c1_bb_verify,noir_c1_bb_verify_time,noir_c2_bb_verify,noir_c2_bb_verify_time,noir_c1_ignored_error,noir_c2_ignored_error,mina_c1_ts_compile,mina_c1_ts_compile_time,mina_c2_ts_compile,mina_c2_ts_compile_time,mina_c1_zk_compile,mina_c1_zk_compile_time,mina_c2_zk_compile,mina_c2_zk_compile_time,mina_c1_prove,mina_c1_prove_time,mina_c2_prove,mina_c2_prove_time,mina_c1_verify,mina_c1_verify_time,mina_c2_verify,mina_c2_verify_time,mina_c1_ignored_error,mina_c2_ignored_error,cycle,explore_time,is_fixed
mina,8.632236003875732,0.9855069272910882,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,6738680429,0.0004611015319824219,6287902421,0.006150484085083008,idem-and-rev|idem-and|idem-or-rev|comm-or|double-neg-rev|double-neg-rev|idem-or-rev|idem-and-rev|idem-or-rev|demorgan-or-rev|idem-or-rev|demorgan-and-rev|idem-or-rev|double-neg|demorgan-and-rev|idem-or|demorgan-and|idem-and|comm-and,10,0,1,0,1,0,45,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.9222195148468018,True,1.921501874923706,False,,,,,,,,,,,,,,10,1355.029171705246,
mina,7.876007318496704,0.33388724076947085,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,5258776640,0.0003490447998046875,3728589920,0.0018646717071533203,double-neg-rev|idem-and-rev|double-neg-rev|demorgan-or-rev|double-neg|comm-or|comm-or|idem-and-rev|idem-or-rev|comm-and|idem-and|idem-and-rev|comm-and,5,0,2,0,1,0,24,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0345535278320312,True,1.841958999633789,False,,,,,,,,,,,,,,16,2024.928023815155,
mina,10.929531335830688,0.3182300366087849,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,4578713408,0.0003635883331298828,4394023316,0.0025742053985595703,idem-and-rev|idem-or-rev|comm-or|idem-and|comm-or|comm-and|comm-and|comm-and|comm-or|comm-or|idem-and|idem-or|double-neg-rev|double-neg|double-neg-rev|double-neg|double-neg-rev|double-neg|idem-or-rev|idem-or|double-neg-rev|double-neg-rev|idem-or-rev|idem-and-rev|demorgan-and-rev|demorgan-and-rev|idem-or-rev|idem-or-rev,2,0,1,0,1,0,30,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.137981414794922,True,5.709765434265137,False,,,,,,,,,,,,,,18,2184.8440742492676,
mina,8.399094104766846,0.4014801047932497,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,4013345259,0.0003921985626220703,6016385142,0.020151376724243164,double-neg-rev|idem-and-rev|comm-and|demorgan-or-rev|comm-or|double-neg|demorgan-or|double-neg-rev|comm-and|double-neg|idem-and|idem-and-rev|idem-and-rev|demorgan-or-rev|idem-or-rev|comm-or|demorgan-or-rev|idem-and-rev|idem-and|double-neg-rev|double-neg|comm-and|idem-or|idem-and-rev|demorgan-or|assoc-or|comm-and|comm-or|idem-and|idem-and-rev|idem-or-rev|double-neg-rev|assoc-and-rev|double-neg-rev|comm-and|idem-or|idem-or|assoc-and|demorgan-or|demorgan-or|comm-and|demorgan-or-rev|comm-or|assoc-and-rev|idem-and-rev|double-neg-rev|assoc-or-rev|comm-or|double-neg-rev|idem-or-rev|assoc-and|demorgan-or|comm-or|idem-and-rev|idem-and-rev|double-neg-rev|demorgan-or-rev|assoc-and-rev|double-neg|assoc-or,6,1,1,0,2,1,74,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.056062698364258,True,2.076862335205078,False,,,,,,,,,,,,,,19,2193.246181488037,
mina,7.765679359436035,0.34953546966833615,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,6601444420,0.0005128383636474609,4638758094,0.014905691146850586,idem-or-rev|idem-and-rev|comm-or|idem-or-rev|idem-or-rev|assoc-or-rev|idem-and-rev|comm-or|double-neg-rev|assoc-or|assoc-or-rev|assoc-or|idem-and|demorgan-or|demorgan-and|double-neg|assoc-or|double-neg-rev|comm-or|double-neg|idem-or|comm-or|idem-or|demorgan-or|idem-or-rev|idem-and|idem-or-rev|demorgan-and|idem-and-rev|assoc-and|assoc-and-rev|demorgan-and-rev|comm-and,21,2,1,0,2,2,62,2,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.002336263656616,True,2.0671520233154297,False,,,,,,,,,,,,,,21,2311.5431110858917,
mina,6.990823030471802,0.535467561512931,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,3010886786,0.00036716461181640625,1962810893,0.008434534072875977,comm-and|idem-or-rev|double-neg-rev|idem-and-rev|double-neg|double-neg-rev|demorgan-and|demorgan-or|demorgan-or-rev|double-neg|comm-and|comm-or|idem-and|idem-and-rev|idem-and|idem-and-rev|double-neg-rev|demorgan-or|idem-and-rev|demorgan-and|double-neg|assoc-and|double-neg|comm-or|demorgan-and-rev|double-neg-rev|idem-and-rev|idem-and-rev,24,2,2,0,2,2,47,2,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.8572885990142822,True,2.029585361480713,False,,,,,,,,,,,,,,22,2318.536717414856,
mina,6.9930315017700195,0.9240792923576789,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,8506985247,0.00038743019104003906,7191166524,0.006424903869628906,double-neg-rev|idem-and-rev|comm-and|idem-and-rev|assoc-and-rev|idem-and-rev|assoc-and-rev|assoc-and|double-neg-rev|assoc-and-rev|double-neg|idem-and-rev|comm-and|comm-and|assoc-and-rev|double-neg|idem-and|double-neg-rev|assoc-and|idem-or-rev|demorgan-or|idem-and|double-neg|assoc-and|idem-or-rev|assoc-and-rev|idem-or|idem-and-rev|idem-and|comm-and|idem-and-rev|double-neg-rev|comm-and|assoc-and-rev|comm-and|double-neg|assoc-and-rev|assoc-and|assoc-and-rev|assoc-and-rev|comm-and,7,1,2,0,1,1,17,1,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1.9971528053283691,True,1.837679147720337,False,,,,,,,,,,,,,,33,3725.6660776138306,
mina,7.202885150909424,0.04245119284935883,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,6379053200,0.0003342628479003906,1005962440,0.0005040168762207031,double-neg-rev|idem-or-rev|idem-or-rev|idem-or-rev,2,0,1,0,2,0,10,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.2708566188812256,True,1.9466710090637207,False,,,,,,,,,,,,,,37,4090.4370555877686,
mina,7.136012554168701,0.41268503902773945,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,3387497351,0.0005221366882324219,8417147638,0.03999519348144531,idem-or-rev|idem-or|comm-or|idem-and-rev|double-neg-rev|idem-or-rev|idem-or-rev|comm-and|double-neg-rev|double-neg-rev|idem-and|double-neg|demorgan-or|demorgan-and|comm-and|idem-and-rev|idem-or-rev|double-neg|comm-or|idem-or-rev|comm-or|assoc-or|demorgan-and|demorgan-or|demorgan-or-rev|demorgan-and|demorgan-and-rev|demorgan-and-rev|demorgan-and|idem-or-rev|idem-or|idem-and|idem-and-rev|demorgan-or-rev|assoc-or-rev|idem-or-rev|demorgan-and-rev|idem-or-rev|demorgan-or|assoc-or|idem-or-rev|demorgan-or-rev|demorgan-or|demorgan-and-rev|idem-and-rev|idem-and|demorgan-and|demorgan-and-rev|idem-or-rev|demorgan-or|assoc-or-rev|comm-and|comm-or|double-neg|demorgan-or-rev,35,2,2,0,1,2,114,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.108480215072632,True,1.959369421005249,False,,,,,,,,,,,,,,43,4692.912218332291,
mina,9.740035772323608,0.16034566234751435,pallas,equal,0,c1 ZK compile failed: Bool.assertTrue(): false != true,5952266307,0.0005114078521728516,2195514255,0.006187915802001953,double-neg|double-neg-rev|idem-and-rev|double-neg-rev|demorgan-or|comm-or|idem-and-rev|double-neg-rev|comm-or|assoc-or|demorgan-or-rev|comm-or|demorgan-or-rev|idem-or-rev|idem-and-rev,33,2,2,0,1,2,61,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3.3648223876953125,True,3.307365894317627,False,,,,,,,,,,,,,,49,5437.510650873184,
